Name,Start,Duration,TID,Category
MegaBlock padded and reorder tokens,47.4953s,227.504 μs,457618,
MegaBlock generate topo,47.4956s,614.330 μs,457618,
MegaBlock mlp forward,47.4962s,585.135 μs,457618,
MegaBlock reorder and remove padding,47.4968s,179.766 μs,457618,
MegaSparse generate indices,47.497s,497.489 μs,457618,
MegaSparse generate topo,47.4975s,719.261 μs,457618,
MegaSparse mlp forward,47.4982s,227.437 μs,457618,
MoE route,47.4985s,274.542 μs,457618,
MegaBlock generate indices,47.4987s,459.287 μs,457618,
MegaBlock padded and reorder tokens,47.4992s,241.026 μs,457618,
MegaBlock generate topo,47.4994s,615.395 μs,457618,
MegaBlock mlp forward,47.5001s,604.689 μs,457618,
MegaBlock reorder and remove padding,47.5007s,163.751 μs,457618,
MegaSparse generate indices,47.5009s,504.147 μs,457618,
MegaSparse generate topo,47.5014s,671.648 μs,457618,
MegaSparse mlp forward,47.5021s,239.121 μs,457618,
MoE route,47.5023s,291.165 μs,457618,
MegaBlock generate indices,47.5026s,469.288 μs,457618,
MegaBlock padded and reorder tokens,47.5031s,229.638 μs,457618,
MegaBlock generate topo,47.5033s,616.834 μs,457618,
MegaBlock mlp forward,47.5039s,607.075 μs,457618,
MegaBlock reorder and remove padding,47.5045s,155.424 μs,457618,
MegaSparse generate indices,47.5047s,468.248 μs,457618,
MegaSparse generate topo,47.5052s,731.408 μs,457618,
MegaSparse mlp forward,47.5059s,230.236 μs,457618,
MoE route,47.5062s,247.860 μs,457618,
MegaBlock generate indices,47.5065s,452.668 μs,457618,
MegaBlock padded and reorder tokens,47.5069s,216.177 μs,457618,
MegaBlock generate topo,47.5071s,596.166 μs,457618,
MegaBlock mlp forward,47.5077s,550.786 μs,457618,
MegaBlock reorder and remove padding,47.5083s,186.209 μs,457618,
MegaSparse generate indices,47.5085s,456.685 μs,457618,
MegaSparse generate topo,47.509s,786.583 μs,457618,
MegaSparse mlp forward,47.5097s,225.923 μs,457618,
MoE route,47.51s,263.316 μs,457618,
MegaBlock generate indices,47.5103s,436.221 μs,457618,
MegaBlock padded and reorder tokens,47.5107s,229.026 μs,457618,
MegaBlock generate topo,47.5109s,585.604 μs,457618,
MegaBlock mlp forward,47.5115s,527.303 μs,457618,
MegaBlock reorder and remove padding,47.5121s,165.257 μs,457618,
MegaSparse generate indices,47.5123s,480.446 μs,457618,
MegaSparse generate topo,47.5127s,758.727 μs,457618,
MegaSparse mlp forward,47.5135s,228.041 μs,457618,
MoE route,47.5137s,262.623 μs,457618,
MegaBlock generate indices,47.514s,464.295 μs,457618,
MegaBlock padded and reorder tokens,47.5145s,244.704 μs,457618,
MegaBlock generate topo,47.5147s,613.113 μs,457618,
MegaBlock mlp forward,47.5153s,585.082 μs,457618,
MegaBlock reorder and remove padding,47.5159s,161.570 μs,457618,
MegaSparse generate indices,47.5161s,516.731 μs,457618,
MegaSparse generate topo,47.5167s,696.633 μs,457618,
MegaSparse mlp forward,47.5174s,228.213 μs,457618,
MoE route,47.5176s,246.783 μs,457618,
MegaBlock generate indices,47.5179s,445.872 μs,457618,
MegaBlock padded and reorder tokens,47.5183s,226.689 μs,457618,
MegaBlock generate topo,47.5185s,576.016 μs,457618,
MegaBlock mlp forward,47.5191s,545.922 μs,457618,
MegaBlock reorder and remove padding,47.5197s,153.793 μs,457618,
MegaSparse generate indices,47.5199s,481.282 μs,457618,
MegaSparse generate topo,47.5203s,751.860 μs,457618,
MegaSparse mlp forward,47.5211s,250.504 μs,457618,
MoE route,47.5214s,261.393 μs,457618,
MegaBlock generate indices,47.5216s,501.019 μs,457618,
MegaBlock padded and reorder tokens,47.5221s,217.231 μs,457618,
MegaBlock generate topo,47.5224s,583.096 μs,457618,
MegaBlock mlp forward,47.5229s,546.148 μs,457618,
MegaBlock reorder and remove padding,47.5235s,152.354 μs,457618,
MegaSparse generate indices,47.5237s,455.167 μs,457618,
MegaSparse generate topo,47.5241s,797.451 μs,457618,
MegaSparse mlp forward,47.5249s,217.706 μs,457618,
MoE route,47.5252s,277.290 μs,457618,
MegaBlock generate indices,47.5255s,477.776 μs,457618,
MegaBlock padded and reorder tokens,47.526s,251.023 μs,457618,
MegaBlock generate topo,47.5262s,603.808 μs,457618,
MegaBlock mlp forward,47.5268s,559.220 μs,457618,
MegaBlock reorder and remove padding,47.5274s,154.766 μs,457618,
MegaSparse generate indices,47.5276s,481.386 μs,457618,
MegaSparse generate topo,47.528s,752.063 μs,457618,
MegaSparse mlp forward,47.5288s,218.510 μs,457618,
MoE route,47.529s,267.376 μs,457618,
MegaBlock generate indices,47.5293s,468.631 μs,457618,
MegaBlock padded and reorder tokens,47.5298s,221.079 μs,457618,
MegaBlock generate topo,47.53s,588.304 μs,457618,
MegaBlock mlp forward,47.5306s,544.268 μs,457618,
MegaBlock reorder and remove padding,47.5311s,151.088 μs,457618,
MegaSparse generate indices,47.5313s,645.181 μs,457618,
MegaSparse generate topo,47.532s,601.471 μs,457618,
MegaSparse mlp forward,47.5326s,232.514 μs,457618,
MoE route,47.5328s,248.610 μs,457618,
MegaBlock generate indices,47.5331s,449.737 μs,457618,
MegaBlock padded and reorder tokens,47.5336s,218.216 μs,457618,
MegaBlock generate topo,47.5338s,644.676 μs,457618,
MegaBlock mlp forward,47.5344s,591.357 μs,457618,
MegaBlock reorder and remove padding,47.535s,167.690 μs,457618,
MegaSparse generate indices,47.5352s,467.944 μs,457618,
MegaSparse generate topo,47.5357s,761.331 μs,457618,
MegaSparse mlp forward,47.5365s,249.127 μs,457618,
MoE route,47.5367s,263.304 μs,457618,
MegaBlock generate indices,47.537s,474.587 μs,457618,
MegaBlock padded and reorder tokens,47.5375s,229.425 μs,457618,
MegaBlock generate topo,47.5377s,610.431 μs,457618,
MegaBlock mlp forward,47.5383s,542.538 μs,457618,
MegaBlock reorder and remove padding,47.5389s,172.932 μs,457618,
MegaSparse generate indices,47.5391s,455.037 μs,457618,
MegaSparse generate topo,47.5395s,776.483 μs,457618,
MegaSparse mlp forward,47.5403s,269.635 μs,457618,
MoE route,47.5406s,276.731 μs,457618,
MegaBlock generate indices,47.5409s,462.463 μs,457618,
MegaBlock padded and reorder tokens,47.5414s,243.379 μs,457618,
MegaBlock generate topo,47.5416s,613.636 μs,457618,
MegaBlock mlp forward,47.5422s,579.570 μs,457618,
MegaBlock reorder and remove padding,47.5428s,152.580 μs,457618,
MegaSparse generate indices,47.543s,493.425 μs,457618,
MegaSparse generate topo,47.5435s,736.169 μs,457618,
MegaSparse mlp forward,47.5442s,265.872 μs,457618,
MoE route,47.5445s,260.960 μs,457618,
MegaBlock generate indices,47.5448s,479.971 μs,457618,
MegaBlock padded and reorder tokens,47.5453s,237.993 μs,457618,
MegaBlock generate topo,47.5455s,626.121 μs,457618,
MegaBlock mlp forward,47.5461s,595.379 μs,457618,
MegaBlock reorder and remove padding,47.5467s,169.077 μs,457618,
MegaSparse generate indices,47.5469s,459.360 μs,457618,
MegaSparse generate topo,47.5474s,747.256 μs,457618,
MegaSparse mlp forward,47.5482s,217.560 μs,457618,
MoE route,47.5484s,281.324 μs,457618,
MegaBlock generate indices,47.5487s,492.088 μs,457618,
MegaBlock padded and reorder tokens,47.5492s,246.076 μs,457618,
MegaBlock generate topo,47.5494s,601.947 μs,457618,
MegaBlock mlp forward,47.55s,548.760 μs,457618,
MegaBlock reorder and remove padding,47.5506s,157.411 μs,457618,
MegaSparse generate indices,47.5508s,474.502 μs,457618,
MegaSparse generate topo,47.5513s,765.990 μs,457618,
MegaSparse mlp forward,47.552s,236.784 μs,457618,
MoE route,47.5523s,294.618 μs,457618,
MegaBlock generate indices,47.5526s,475.363 μs,457618,
MegaBlock padded and reorder tokens,47.5531s,246.863 μs,457618,
MegaBlock generate topo,47.5533s,611.937 μs,457618,
MegaBlock mlp forward,47.5539s,548.199 μs,457618,
MegaBlock reorder and remove padding,47.5545s,152.912 μs,457618,
MegaSparse generate indices,47.5547s,486.452 μs,457618,
MegaSparse generate topo,47.5552s,755.845 μs,457618,
MegaSparse mlp forward,47.5559s,233.403 μs,457618,
MoE route,47.5562s,279.063 μs,457618,
MegaBlock generate indices,47.5565s,475.539 μs,457618,
MegaBlock padded and reorder tokens,47.5569s,227.702 μs,457618,
MegaBlock generate topo,47.5572s,616.490 μs,457618,
MegaBlock mlp forward,47.5578s,549.173 μs,457618,
MegaBlock reorder and remove padding,47.5583s,152.490 μs,457618,
MegaSparse generate indices,47.5585s,458.785 μs,457618,
MegaSparse generate topo,47.559s,789.214 μs,457618,
MegaSparse mlp forward,47.5598s,227.338 μs,457618,
MoE route,47.56s,251.923 μs,457618,
MegaBlock generate indices,47.5603s,487.286 μs,457618,
MegaBlock padded and reorder tokens,47.5608s,246.614 μs,457618,
MegaBlock generate topo,47.561s,614.538 μs,457618,
MegaBlock mlp forward,47.5617s,542.468 μs,457618,
MegaBlock reorder and remove padding,47.5622s,155.875 μs,457618,
MegaSparse generate indices,47.5624s,470.421 μs,457618,
MegaSparse generate topo,47.5629s,753.285 μs,457618,
MegaSparse mlp forward,47.5636s,221.980 μs,457618,
MoE route,47.5639s,265.904 μs,457618,
MegaBlock generate indices,47.5641s,475.382 μs,457618,
MegaBlock padded and reorder tokens,47.5646s,242.050 μs,457618,
MegaBlock generate topo,47.5649s,607.471 μs,457618,
MegaBlock mlp forward,47.5655s,553.614 μs,457618,
MegaBlock reorder and remove padding,47.566s,153.637 μs,457618,
MegaSparse generate indices,47.5662s,469.555 μs,457618,
MegaSparse generate topo,47.5667s,777.117 μs,457618,
MegaSparse mlp forward,47.5675s,228.138 μs,457618,
MoE route,47.5677s,248.183 μs,457618,
MegaBlock generate indices,47.568s,480.616 μs,457618,
MegaBlock padded and reorder tokens,47.5685s,230.611 μs,457618,
MegaBlock generate topo,47.5687s,620.009 μs,457618,
MegaBlock mlp forward,47.5693s,575.252 μs,457618,
MegaBlock reorder and remove padding,47.5699s,152.831 μs,457618,
MegaSparse generate indices,47.5701s,479.806 μs,457618,
MegaSparse generate topo,47.5706s,756.286 μs,457618,
MegaSparse mlp forward,47.5713s,228.963 μs,457618,
MoE route,47.5716s,252.570 μs,457618,
MegaBlock generate indices,47.5718s,449.731 μs,457618,
MegaBlock padded and reorder tokens,47.5723s,250.845 μs,457618,
MegaBlock generate topo,47.5725s,618.672 μs,457618,
MegaBlock mlp forward,47.5732s,582.047 μs,457618,
MegaBlock reorder and remove padding,47.5737s,166.668 μs,457618,
MegaSparse generate indices,47.5739s,467.432 μs,457618,
MegaSparse generate topo,47.5744s,769.117 μs,457618,
MegaSparse mlp forward,47.5752s,228.255 μs,457618,
MoE route,47.5754s,258.403 μs,457618,
MegaBlock generate indices,47.5757s,436.042 μs,457618,
MegaBlock padded and reorder tokens,47.5761s,234.646 μs,457618,
MegaBlock generate topo,47.5764s,651.016 μs,457618,
MegaBlock mlp forward,47.577s,578.218 μs,457618,
MegaBlock reorder and remove padding,47.5776s,155.349 μs,457618,
MegaSparse generate indices,47.5778s,468.974 μs,457618,
MegaSparse generate topo,47.5783s,744.584 μs,457618,
MegaSparse mlp forward,47.579s,216.745 μs,457618,
MoE route,47.5793s,261.352 μs,457618,
MegaBlock generate indices,47.5795s,444.224 μs,457618,
MegaBlock padded and reorder tokens,47.58s,215.822 μs,457618,
MegaBlock generate topo,47.5802s,641.428 μs,457618,
MegaBlock mlp forward,47.5808s,576.824 μs,457618,
MegaBlock reorder and remove padding,47.5814s,169.318 μs,457618,
MegaSparse generate indices,47.5816s,468.763 μs,457618,
MegaSparse generate topo,47.5821s,737.200 μs,457618,
MegaSparse mlp forward,47.5828s,242.349 μs,457618,
MoE route,47.5831s,249.754 μs,457618,
MegaBlock generate indices,47.5834s,463.622 μs,457618,
MegaBlock padded and reorder tokens,47.5838s,215.818 μs,457618,
MegaBlock generate topo,47.584s,632.902 μs,457618,
MegaBlock mlp forward,47.5847s,577.854 μs,457618,
MegaBlock reorder and remove padding,47.5853s,174.632 μs,457618,
MegaSparse generate indices,47.5855s,466.122 μs,457618,
MegaSparse generate topo,47.5859s,758.855 μs,457618,
MegaSparse mlp forward,47.5867s,215.556 μs,457618,
MoE route,47.5869s,247.425 μs,457618,
MegaBlock generate indices,47.5872s,442.511 μs,457618,
MegaBlock padded and reorder tokens,47.5876s,226.400 μs,457618,
MegaBlock generate topo,47.5879s,609.949 μs,457618,
MegaBlock mlp forward,47.5885s,562.213 μs,457618,
MegaBlock reorder and remove padding,47.589s,175.777 μs,457618,
MegaSparse generate indices,47.5893s,491.548 μs,457618,
MegaSparse generate topo,47.5898s,731.945 μs,457618,
MegaSparse mlp forward,47.5905s,217.440 μs,457618,
MoE route,47.5907s,256.976 μs,457618,
MegaBlock generate indices,47.591s,434.336 μs,457618,
MegaBlock padded and reorder tokens,47.5914s,241.243 μs,457618,
MegaBlock generate topo,47.5917s,579.607 μs,457618,
MegaBlock mlp forward,47.5923s,595.915 μs,457618,
MegaBlock reorder and remove padding,47.5928s,163.078 μs,457618,
MegaSparse generate indices,47.5931s,502.203 μs,457618,
MegaSparse generate topo,47.5936s,709.135 μs,457618,
MegaSparse mlp forward,47.5943s,219.566 μs,457618,
MoE route,47.5945s,266.491 μs,457618,
MegaBlock generate indices,47.5948s,451.569 μs,457618,
MegaBlock padded and reorder tokens,47.5952s,217.904 μs,457618,
MegaBlock generate topo,47.5955s,580.355 μs,457618,
MegaBlock mlp forward,47.596s,576.194 μs,457618,
MegaBlock reorder and remove padding,47.5966s,162.261 μs,457618,
MegaSparse generate indices,47.5968s,495.056 μs,457618,
MegaSparse generate topo,47.5973s,705.352 μs,457618,
MegaSparse mlp forward,47.598s,235.915 μs,457618,
MoE route,47.5983s,248.555 μs,457618,
MegaBlock generate indices,47.5985s,445.870 μs,457618,
MegaBlock padded and reorder tokens,47.599s,216.843 μs,457618,
MegaBlock generate topo,47.5992s,584.716 μs,457618,
MegaBlock mlp forward,47.5998s,549.881 μs,457618,
MegaBlock reorder and remove padding,47.6003s,184.981 μs,457618,
MegaSparse generate indices,47.6006s,495.493 μs,457618,
MegaSparse generate topo,47.6011s,702.468 μs,457618,
MegaSparse mlp forward,47.6018s,233.237 μs,457618,
MoE route,47.602s,247.840 μs,457618,
MegaBlock generate indices,47.6023s,443.936 μs,457618,
MegaBlock padded and reorder tokens,47.6027s,222.245 μs,457618,
MegaBlock generate topo,47.603s,581.644 μs,457618,
MegaBlock mlp forward,47.6035s,555.209 μs,457618,
MegaBlock reorder and remove padding,47.6041s,153.386 μs,457618,
MegaSparse generate indices,47.6043s,490.563 μs,457618,
MegaSparse generate topo,47.6048s,751.363 μs,457618,
MegaSparse mlp forward,47.6055s,238.347 μs,457618,
MoE route,47.6058s,248.747 μs,457618,
MegaBlock generate indices,47.606s,445.910 μs,457618,
MegaBlock padded and reorder tokens,47.6065s,214.943 μs,457618,
MegaBlock generate topo,47.6067s,591.461 μs,457618,
MegaBlock mlp forward,47.6073s,538.934 μs,457618,
MegaBlock reorder and remove padding,47.6078s,162.505 μs,457618,
MegaSparse generate indices,47.608s,472.135 μs,457618,
MegaSparse generate topo,47.6085s,784.715 μs,457618,
MegaSparse mlp forward,47.6093s,222.822 μs,457618,
MoE route,47.6096s,246.359 μs,457618,
MegaBlock generate indices,47.6098s,452.996 μs,457618,
MegaBlock padded and reorder tokens,47.6103s,229.188 μs,457618,
MegaBlock generate topo,47.6105s,584.639 μs,457618,
MegaBlock mlp forward,47.6111s,528.816 μs,457618,
MegaBlock reorder and remove padding,47.6116s,169.905 μs,457618,
MegaSparse generate indices,47.6118s,470.738 μs,457618,
MegaSparse generate topo,47.6123s,770.678 μs,457618,
MegaSparse mlp forward,47.6131s,216.465 μs,457618,
MoE route,47.6133s,263.357 μs,457618,
MegaBlock generate indices,47.6136s,432.211 μs,457618,
MegaBlock padded and reorder tokens,47.614s,234.503 μs,457618,
MegaBlock generate topo,47.6142s,584.332 μs,457618,
MegaBlock mlp forward,47.6148s,537.203 μs,457618,
MegaBlock reorder and remove padding,47.6154s,152.293 μs,457618,
MegaSparse generate indices,47.6156s,467.991 μs,457618,
MegaSparse generate topo,47.616s,774.312 μs,457618,
MegaSparse mlp forward,47.6168s,219.127 μs,457618,
MoE route,47.6171s,264.542 μs,457618,
MegaBlock generate indices,47.6173s,445.793 μs,457618,
MegaBlock padded and reorder tokens,47.6178s,220.066 μs,457618,
MegaBlock generate topo,47.618s,580.134 μs,457618,
MegaBlock mlp forward,47.6186s,536.578 μs,457618,
MegaBlock reorder and remove padding,47.6191s,161.317 μs,457618,
MegaSparse generate indices,47.6193s,472.881 μs,457618,
MegaSparse generate topo,47.6198s,770.812 μs,457618,
MegaSparse mlp forward,47.6206s,225.888 μs,457618,
MoE route,47.6208s,247.790 μs,457618,
MegaBlock generate indices,47.6211s,489.517 μs,457618,
MegaBlock padded and reorder tokens,47.6216s,230.934 μs,457618,
MegaBlock generate topo,47.6218s,628.094 μs,457618,
MegaBlock mlp forward,47.6224s,545.081 μs,457618,
MegaBlock reorder and remove padding,47.623s,153.666 μs,457618,
MegaSparse generate indices,47.6232s,466.773 μs,457618,
MegaSparse generate topo,47.6236s,790.695 μs,457618,
MegaSparse mlp forward,47.6244s,232.635 μs,457618,
MoE route,47.6247s,247.732 μs,457618,
MegaBlock generate indices,47.6249s,449.313 μs,457618,
MegaBlock padded and reorder tokens,47.6254s,222.336 μs,457618,
MegaBlock generate topo,47.6256s,579.342 μs,457618,
MegaBlock mlp forward,47.6262s,541.132 μs,457618,
MegaBlock reorder and remove padding,47.6267s,170.777 μs,457618,
MegaSparse generate indices,47.6269s,456.821 μs,457618,
MegaSparse generate topo,47.6274s,801.138 μs,457618,
MegaSparse mlp forward,47.6282s,229.859 μs,457618,
MoE route,47.6285s,256.830 μs,457618,
MegaBlock generate indices,47.6287s,435.409 μs,457618,
MegaBlock padded and reorder tokens,47.6292s,229.846 μs,457618,
MegaBlock generate topo,47.6294s,584.163 μs,457618,
MegaBlock mlp forward,47.63s,528.918 μs,457618,
MegaBlock reorder and remove padding,47.6305s,171.010 μs,457618,
MegaSparse generate indices,47.6307s,478.509 μs,457618,
MegaSparse generate topo,47.6312s,758.663 μs,457618,
MegaSparse mlp forward,47.632s,213.809 μs,457618,
MoE route,47.6322s,273.528 μs,457618,
MegaBlock generate indices,47.6325s,433.294 μs,457618,
MegaBlock padded and reorder tokens,47.6329s,238.873 μs,457618,
MegaBlock generate topo,47.6331s,589.986 μs,457618,
MegaBlock mlp forward,47.6337s,545.618 μs,457618,
MegaBlock reorder and remove padding,47.6343s,153.078 μs,457618,
MegaSparse generate indices,47.6345s,465.461 μs,457618,
MegaSparse generate topo,47.6349s,757.959 μs,457618,
MegaSparse mlp forward,47.6357s,218.936 μs,457618,
MoE route,47.6359s,262.863 μs,457618,
MegaBlock generate indices,47.6362s,460.255 μs,457618,
MegaBlock padded and reorder tokens,47.6367s,215.894 μs,457618,
MegaBlock generate topo,47.6369s,579.044 μs,457618,
MegaBlock mlp forward,47.6375s,545.622 μs,457618,
MegaBlock reorder and remove padding,47.638s,156.161 μs,457618,
MegaSparse generate indices,47.6382s,471.217 μs,457618,
MegaSparse generate topo,47.6387s,768.870 μs,457618,
MegaSparse mlp forward,47.6395s,226.121 μs,457618,
MoE route,47.6397s,248.738 μs,457618,
MegaBlock generate indices,47.64s,465.852 μs,457618,
MegaBlock padded and reorder tokens,47.6404s,219.194 μs,457618,
MegaBlock generate topo,47.6407s,584.087 μs,457618,
MegaBlock mlp forward,47.6412s,552.823 μs,457618,
MegaBlock reorder and remove padding,47.6418s,153.337 μs,457618,
MegaSparse generate indices,47.642s,468.458 μs,457618,
MegaSparse generate topo,47.6425s,769.357 μs,457618,
MegaSparse mlp forward,47.6432s,229.389 μs,457618,
MoE route,47.6435s,251.469 μs,457618,
MegaBlock generate indices,47.6437s,445.803 μs,457618,
MegaBlock padded and reorder tokens,47.6442s,228.771 μs,457618,
MegaBlock generate topo,47.6444s,582.385 μs,457618,
MegaBlock mlp forward,47.645s,538.826 μs,457618,
MegaBlock reorder and remove padding,47.6455s,150.940 μs,457618,
MegaSparse generate indices,47.6458s,452.162 μs,457618,
MegaSparse generate topo,47.6462s,799.390 μs,457618,
MegaSparse mlp forward,47.647s,219.199 μs,457618,
MoE route,47.6472s,245.366 μs,457618,
MegaBlock generate indices,47.6475s,440.977 μs,457618,
MegaBlock padded and reorder tokens,47.6479s,239.975 μs,457618,
MegaBlock generate topo,47.6482s,595.479 μs,457618,
MegaBlock mlp forward,47.6488s,526.563 μs,457618,
MegaBlock reorder and remove padding,47.6493s,165.738 μs,457618,
MegaSparse generate indices,47.6495s,462.478 μs,457618,
MegaSparse generate topo,47.65s,788.266 μs,457618,
MegaSparse mlp forward,47.6508s,213.950 μs,457618,
MoE route,47.651s,256.662 μs,457618,
MegaBlock generate indices,47.6513s,432.999 μs,457618,
MegaBlock padded and reorder tokens,47.6517s,233.171 μs,457618,
MegaBlock generate topo,47.6519s,626.131 μs,457618,
MegaBlock mlp forward,47.6526s,543.703 μs,457618,
MegaBlock reorder and remove padding,47.6531s,156.484 μs,457618,
MegaSparse generate indices,47.6533s,469.392 μs,457618,
MegaSparse generate topo,47.6538s,766.392 μs,457618,
MegaSparse mlp forward,47.6546s,217.423 μs,457618,
MoE route,47.6548s,266.154 μs,457618,
MegaBlock generate indices,47.6551s,452.493 μs,457618,
MegaBlock padded and reorder tokens,47.6555s,217.091 μs,457618,
MegaBlock generate topo,47.6557s,580.286 μs,457618,
MegaBlock mlp forward,47.6563s,555.860 μs,457618,
MegaBlock reorder and remove padding,47.6569s,160.241 μs,457618,
MegaSparse generate indices,47.6571s,467.032 μs,457618,
MegaSparse generate topo,47.6575s,770.559 μs,457618,
MegaSparse mlp forward,47.6583s,231.827 μs,457618,
MoE route,47.6586s,246.674 μs,457618,
MegaBlock generate indices,47.6588s,450.059 μs,457618,
MegaBlock padded and reorder tokens,47.6593s,215.459 μs,457618,
MegaBlock generate topo,47.6595s,578.930 μs,457618,
MegaBlock mlp forward,47.6601s,560.546 μs,457618,
MegaBlock reorder and remove padding,47.6606s,153.158 μs,457618,
MegaSparse generate indices,47.6608s,468.410 μs,457618,
MegaSparse generate topo,47.6613s,759.153 μs,457618,
MegaSparse mlp forward,47.6621s,230.599 μs,457618,
MoE route,47.6623s,247.190 μs,457618,
MegaBlock generate indices,47.6626s,448.221 μs,457618,
MegaBlock padded and reorder tokens,47.663s,220.069 μs,457618,
MegaBlock generate topo,47.6632s,574.765 μs,457618,
MegaBlock mlp forward,47.6638s,545.534 μs,457618,
MegaBlock reorder and remove padding,47.6644s,166.242 μs,457618,
MegaSparse generate indices,47.6646s,465.859 μs,457618,
MegaSparse generate topo,47.665s,778.668 μs,457618,
MegaSparse mlp forward,47.6658s,228.488 μs,457618,
MoE route,47.6661s,245.984 μs,457618,
MegaBlock generate indices,47.6663s,443.585 μs,457618,
MegaBlock padded and reorder tokens,47.6668s,222.261 μs,457618,
MegaBlock generate topo,47.667s,588.666 μs,457618,
MegaBlock mlp forward,47.6676s,539.051 μs,457618,
MegaBlock reorder and remove padding,47.6681s,167.106 μs,457618,
MegaSparse generate indices,47.6683s,465.481 μs,457618,
MegaSparse generate topo,47.6688s,785.833 μs,457618,
MegaSparse mlp forward,47.6696s,213.430 μs,457618,
MoE route,47.6698s,260.568 μs,457618,
MegaBlock generate indices,47.6701s,431.821 μs,457618,
MegaBlock padded and reorder tokens,47.6705s,228.708 μs,457618,
MegaBlock generate topo,47.6707s,586.808 μs,457618,
MegaBlock mlp forward,47.6713s,523.817 μs,457618,
MegaBlock reorder and remove padding,47.6719s,165.101 μs,457618,
MegaSparse generate indices,47.6721s,482.229 μs,457618,
MegaSparse generate topo,47.6726s,758.154 μs,457618,
MegaSparse mlp forward,47.6733s,215.497 μs,457618,
MoE route,47.6735s,262.260 μs,457618,
MegaBlock generate indices,47.6738s,426.660 μs,457618,
MegaBlock padded and reorder tokens,47.6742s,238.532 μs,457618,
MegaBlock generate topo,47.6745s,580.501 μs,457618,
MegaBlock mlp forward,47.6751s,536.184 μs,457618,
MegaBlock reorder and remove padding,47.6756s,153.762 μs,457618,
MegaSparse generate indices,47.6758s,464.894 μs,457618,
MegaSparse generate topo,47.6763s,783.180 μs,457618,
MegaSparse mlp forward,47.6771s,220.389 μs,457618,
MoE route,47.6773s,265.760 μs,457618,
MegaBlock generate indices,47.6776s,449.273 μs,457618,
MegaBlock padded and reorder tokens,47.678s,216.223 μs,457618,
MegaBlock generate topo,47.6782s,580.867 μs,457618,
