Name,Duration
MoE route,254.735 μs
MegaBlock generate indices,446.126 μs
MegaBlock padded and reorder tokens,223.844 μs
MegaBlock generate topo,582.723 μs
MegaBlock mlp forward,569.243 μs
MegaBlock reorder and remove padding,157.149 μs
MegaSparse generate indices,473.439 μs
MegaSparse generate topo,735.819 μs
MoE route,259.651 μs
MegaBlock generate indices,420.962 μs
MegaBlock padded and reorder tokens,235.120 μs
MegaBlock generate topo,578.981 μs
MegaBlock mlp forward,562.478 μs
MegaBlock reorder and remove padding,166.289 μs
MegaSparse generate indices,479.977 μs
MegaSparse generate topo,710.331 μs
MoE route,260.029 μs
MegaBlock generate indices,453.234 μs
MegaBlock padded and reorder tokens,216.736 μs
MegaBlock generate topo,570.290 μs
MegaBlock mlp forward,585.874 μs
MegaBlock reorder and remove padding,172.886 μs
MegaSparse generate indices,468.271 μs
MegaSparse generate topo,721.096 μs
MoE route,250.904 μs
MegaBlock generate indices,439.134 μs
MegaBlock padded and reorder tokens,213.492 μs
MegaBlock generate topo,564.234 μs
MegaBlock mlp forward,522.553 μs
MegaBlock reorder and remove padding,151.874 μs
MegaSparse generate indices,512.170 μs
MegaSparse generate topo,748.638 μs
MoE route,256.399 μs
MegaBlock generate indices,417.887 μs
MegaBlock padded and reorder tokens,220.976 μs
MegaBlock generate topo,559.525 μs
MegaBlock mlp forward,528.555 μs
MegaBlock reorder and remove padding,164.612 μs
MegaSparse generate indices,437.501 μs
MegaSparse generate topo,833.124 μs
MoE route,260.612 μs
MegaBlock generate indices,453.023 μs
MegaBlock padded and reorder tokens,208.526 μs
MegaBlock generate topo,562.488 μs
MegaBlock mlp forward,535.636 μs
MegaBlock reorder and remove padding,150.368 μs
MegaSparse generate indices,457.097 μs
MegaSparse generate topo,824.100 μs
MoE route,280.357 μs
MegaBlock generate indices,454.663 μs
MegaBlock padded and reorder tokens,226.532 μs
MegaBlock generate topo,598.931 μs
MegaBlock mlp forward,560.984 μs
MegaBlock reorder and remove padding,164.834 μs
MegaSparse generate indices,499.492 μs
MegaSparse generate topo,705.748 μs
MoE route,288.119 μs
MegaBlock generate indices,444.375 μs
MegaBlock padded and reorder tokens,233.896 μs
MegaBlock generate topo,592.360 μs
MegaBlock mlp forward,519.872 μs
MegaBlock reorder and remove padding,166.666 μs
MegaSparse generate indices,445.559 μs
MegaSparse generate topo,795.740 μs
MoE route,246.997 μs
MegaBlock generate indices,462.215 μs
MegaBlock padded and reorder tokens,220.454 μs
MegaBlock generate topo,604.209 μs
MegaBlock mlp forward,555.666 μs
MegaBlock reorder and remove padding,148.842 μs
MegaSparse generate indices,462.158 μs
MegaSparse generate topo,800.435 μs
MoE route,247.366 μs
MegaBlock generate indices,444.697 μs
MegaBlock padded and reorder tokens,214.321 μs
MegaBlock generate topo,623.138 μs
MegaBlock mlp forward,565.272 μs
MegaBlock reorder and remove padding,164.853 μs
MegaSparse generate indices,461.265 μs
MegaSparse generate topo,750.321 μs
MoE route,256.490 μs
MegaBlock generate indices,420.420 μs
MegaBlock padded and reorder tokens,244.813 μs
MegaBlock generate topo,620.714 μs
MegaBlock mlp forward,573.027 μs
MegaBlock reorder and remove padding,158.549 μs
MegaSparse generate indices,477.349 μs
MegaSparse generate topo,733.891 μs
MoE route,247.447 μs
MegaBlock generate indices,429.193 μs
MegaBlock padded and reorder tokens,209.678 μs
MegaBlock generate topo,561.722 μs
MegaBlock mlp forward,537.721 μs
MegaBlock reorder and remove padding,155.921 μs
MegaSparse generate indices,447.957 μs
MegaSparse generate topo,786.979 μs
MoE route,247.356 μs
MegaBlock generate indices,428.466 μs
MegaBlock padded and reorder tokens,211.650 μs
MegaBlock generate topo,570.115 μs
MegaBlock mlp forward,545.599 μs
MegaBlock reorder and remove padding,151.769 μs
MegaSparse generate indices,472.295 μs
MegaSparse generate topo,770.572 μs
