Name,Duration
MoE route,270.406 μs
MegaBlock generate indices,440.551 μs
MegaBlock padded and reorder tokens,231.270 μs
MegaBlock generate topo,621.788 μs
MegaBlock mlp forward,571.735 μs
MegaBlock reorder and remove padding,169.059 μs
MegaSparse generate indices,477.436 μs
MegaSparse generate topo,731.325 μs
MoE route,249.979 μs
MegaBlock generate indices,428.250 μs
MegaBlock padded and reorder tokens,208.055 μs
MegaBlock generate topo,567.978 μs
MegaBlock mlp forward,524.576 μs
MegaBlock reorder and remove padding,150.893 μs
MegaSparse generate indices,452.991 μs
MegaSparse generate topo,808.972 μs
MoE route,262.812 μs
MegaBlock generate indices,438.067 μs
MegaBlock padded and reorder tokens,209.809 μs
MegaBlock generate topo,569.280 μs
MegaBlock mlp forward,527.325 μs
MegaBlock reorder and remove padding,153.753 μs
MegaSparse generate indices,459.835 μs
MegaSparse generate topo,779.602 μs
MoE route,249.953 μs
MegaBlock generate indices,449.882 μs
MegaBlock padded and reorder tokens,226.445 μs
MegaBlock generate topo,556.843 μs
MegaBlock mlp forward,537.672 μs
MegaBlock reorder and remove padding,177.274 μs
MegaSparse generate indices,443.324 μs
MegaSparse generate topo,802.527 μs
MoE route,262.995 μs
MegaBlock generate indices,440.408 μs
MegaBlock padded and reorder tokens,211.788 μs
MegaBlock generate topo,579.618 μs
MegaBlock mlp forward,519.802 μs
MegaBlock reorder and remove padding,155.290 μs
MegaSparse generate indices,450.071 μs
MegaSparse generate topo,793.220 μs
MoE route,266.876 μs
MegaBlock generate indices,417.473 μs
MegaBlock padded and reorder tokens,228.544 μs
MegaBlock generate topo,566.783 μs
MegaBlock mlp forward,528.736 μs
MegaBlock reorder and remove padding,154.080 μs
MegaSparse generate indices,451.866 μs
MegaSparse generate topo,799.435 μs
MoE route,259.677 μs
MegaBlock generate indices,445.191 μs
MegaBlock padded and reorder tokens,237.821 μs
MegaBlock generate topo,571.829 μs
MegaBlock mlp forward,554.279 μs
MegaBlock reorder and remove padding,169.266 μs
MegaSparse generate indices,437.777 μs
MegaSparse generate topo,789.560 μs
MoE route,246.801 μs
MegaBlock generate indices,438.694 μs
MegaBlock padded and reorder tokens,214.421 μs
MegaBlock generate topo,576.259 μs
MegaBlock mlp forward,579.011 μs
MegaBlock reorder and remove padding,162.479 μs
MegaSparse generate indices,488.710 μs
MegaSparse generate topo,743.905 μs
MoE route,265.197 μs
MegaBlock generate indices,416.302 μs
MegaBlock padded and reorder tokens,226.336 μs
MegaBlock generate topo,576.493 μs
MegaBlock mlp forward,522.723 μs
MegaBlock reorder and remove padding,155.438 μs
MegaSparse generate indices,450.732 μs
MegaSparse generate topo,805.571 μs
MoE route,261.052 μs
MegaBlock generate indices,460.574 μs
MegaBlock padded and reorder tokens,228.463 μs
MegaBlock generate topo,608.383 μs
MegaBlock mlp forward,559.515 μs
MegaBlock reorder and remove padding,175.415 μs
MegaSparse generate indices,467.714 μs
MegaSparse generate topo,795.725 μs
MoE route,260.096 μs
MegaBlock generate indices,462.792 μs
MegaBlock padded and reorder tokens,225.775 μs
MegaBlock generate topo,560.190 μs
MegaBlock mlp forward,520.324 μs
MegaBlock reorder and remove padding,156.405 μs
MegaSparse generate indices,451.637 μs
MegaSparse generate topo,801.453 μs
MoE route,275.768 μs
MegaBlock generate indices,480.032 μs
MegaBlock padded and reorder tokens,224.806 μs
MegaBlock generate topo,601.043 μs
MegaBlock mlp forward,550.131 μs
MegaBlock reorder and remove padding,164.874 μs
MegaSparse generate indices,475.245 μs
MegaSparse generate topo,764.760 μs
MoE route,270.540 μs
MegaBlock generate indices,450.384 μs
MegaBlock padded and reorder tokens,240.356 μs
MegaBlock generate topo,601.738 μs
MegaBlock mlp forward,552.957 μs
MegaBlock reorder and remove padding,154.567 μs
MegaSparse generate indices,451.157 μs
MegaSparse generate topo,795.333 μs
MoE route,248.051 μs
MegaBlock generate indices,437.350 μs
MegaBlock padded and reorder tokens,211.861 μs
MegaBlock generate topo,636.824 μs
MegaBlock mlp forward,565.673 μs
MegaBlock reorder and remove padding,179.407 μs
MegaSparse generate indices,471.926 μs
MegaSparse generate topo,741.555 μs
MoE route,246.794 μs
MegaBlock generate indices,424.372 μs
MegaBlock padded and reorder tokens,207.865 μs
MegaBlock generate topo,557.297 μs
MegaBlock mlp forward,580.348 μs
MegaBlock reorder and remove padding,157.964 μs
MegaSparse generate indices,493.795 μs
MegaSparse generate topo,725.072 μs
MoE route,258.000 μs
MegaBlock generate indices,418.145 μs
MegaBlock padded and reorder tokens,222.375 μs
MegaBlock generate topo,557.682 μs
MegaBlock mlp forward,513.075 μs
MegaBlock reorder and remove padding,195.465 μs
MegaSparse generate indices,471.476 μs
MegaSparse generate topo,750.580 μs
MoE route,248.606 μs
MegaBlock generate indices,440.076 μs
MegaBlock padded and reorder tokens,209.383 μs
MegaBlock generate topo,570.835 μs
MegaBlock mlp forward,527.195 μs
MegaBlock reorder and remove padding,153.437 μs
MegaSparse generate indices,482.117 μs
MegaSparse generate topo,779.967 μs
MoE route,291.253 μs
MegaBlock generate indices,412.285 μs
MegaBlock padded and reorder tokens,226.505 μs
MegaBlock generate topo,565.139 μs
MegaBlock mlp forward,520.980 μs
MegaBlock reorder and remove padding,148.602 μs
MegaSparse generate indices,444.064 μs
MegaSparse generate topo,820.281 μs
MoE route,258.677 μs
MegaBlock generate indices,455.769 μs
MegaBlock padded and reorder tokens,226.757 μs
MegaBlock generate topo,552.374 μs
MegaBlock mlp forward,528.147 μs
MegaBlock reorder and remove padding,158.303 μs
MegaSparse generate indices,441.752 μs
MegaSparse generate topo,830.135 μs
MoE route,283.764 μs
MegaBlock generate indices,451.300 μs
MegaBlock padded and reorder tokens,219.599 μs
MegaBlock generate topo,585.508 μs
MegaBlock mlp forward,521.845 μs
MegaBlock reorder and remove padding,147.130 μs
MegaSparse generate indices,460.798 μs
MegaSparse generate topo,806.179 μs
MoE route,280.398 μs
MegaBlock generate indices,471.937 μs
MegaBlock padded and reorder tokens,221.028 μs
MegaBlock generate topo,597.416 μs
MegaBlock mlp forward,530.217 μs
MegaBlock reorder and remove padding,155.952 μs
MegaSparse generate indices,450.938 μs
MegaSparse generate topo,802.788 μs
MoE route,254.664 μs
MegaBlock generate indices,417.570 μs
MegaBlock padded and reorder tokens,220.636 μs
MegaBlock generate topo,616.398 μs
MegaBlock mlp forward,548.253 μs
MegaBlock reorder and remove padding,162.710 μs
MegaSparse generate indices,439.022 μs
MegaSparse generate topo,796.568 μs
MoE route,246.846 μs
MegaBlock generate indices,432.294 μs
MegaBlock padded and reorder tokens,208.681 μs
MegaBlock generate topo,586.097 μs
MegaBlock mlp forward,553.383 μs
MegaBlock reorder and remove padding,158.713 μs
MegaSparse generate indices,481.728 μs
MegaSparse generate topo,758.190 μs
MoE route,341.631 μs
MegaBlock generate indices,457.520 μs
MegaBlock padded and reorder tokens,221.837 μs
MegaBlock generate topo,588.140 μs
MegaBlock mlp forward,579.592 μs
MegaBlock reorder and remove padding,161.840 μs
MegaSparse generate indices,484.167 μs
MegaSparse generate topo,704.308 μs
MoE route,255.674 μs
MegaBlock generate indices,410.164 μs
MegaBlock padded and reorder tokens,218.941 μs
MegaBlock generate topo,557.012 μs
MegaBlock mlp forward,525.717 μs
MegaBlock reorder and remove padding,175.946 μs
MegaSparse generate indices,470.913 μs
MegaSparse generate topo,761.953 μs
MoE route,245.549 μs
MegaBlock generate indices,429.526 μs
MegaBlock padded and reorder tokens,208.649 μs
MegaBlock generate topo,570.822 μs
MegaBlock mlp forward,531.807 μs
MegaBlock reorder and remove padding,150.048 μs
MegaSparse generate indices,466.543 μs
MegaSparse generate topo,788.780 μs
MoE route,273.983 μs
MegaBlock generate indices,438.946 μs
MegaBlock padded and reorder tokens,234.227 μs
MegaBlock generate topo,572.434 μs
MegaBlock mlp forward,522.837 μs
MegaBlock reorder and remove padding,149.761 μs
MegaSparse generate indices,457.837 μs
MegaSparse generate topo,804.503 μs
MoE route,247.545 μs
MegaBlock generate indices,438.303 μs
MegaBlock padded and reorder tokens,207.373 μs
MegaBlock generate topo,566.119 μs
MegaBlock mlp forward,587.134 μs
MegaBlock reorder and remove padding,166.220 μs
MegaSparse generate indices,441.981 μs
MegaSparse generate topo,751.880 μs
MoE route,251.343 μs
MegaBlock generate indices,443.250 μs
MegaBlock padded and reorder tokens,216.479 μs
MegaBlock generate topo,565.364 μs
MegaBlock mlp forward,528.024 μs
MegaBlock reorder and remove padding,149.451 μs
MegaSparse generate indices,457.850 μs
MegaSparse generate topo,781.202 μs
MoE route,258.601 μs
MegaBlock generate indices,416.747 μs
MegaBlock padded and reorder tokens,233.558 μs
MegaBlock generate topo,565.718 μs
MegaBlock mlp forward,516.675 μs
MegaBlock reorder and remove padding,164.910 μs
MegaSparse generate indices,451.961 μs
MegaSparse generate topo,786.337 μs
MoE route,247.867 μs
MegaBlock generate indices,425.654 μs
MegaBlock padded and reorder tokens,210.471 μs
MegaBlock generate topo,568.510 μs
MegaBlock mlp forward,531.581 μs
MegaBlock reorder and remove padding,158.420 μs
MegaSparse generate indices,453.307 μs
MegaSparse generate topo,789.778 μs
MoE route,265.466 μs
MegaBlock generate indices,425.573 μs
MegaBlock padded and reorder tokens,209.141 μs
MegaBlock generate topo,563.951 μs
MegaBlock mlp forward,537.060 μs
MegaBlock reorder and remove padding,152.161 μs
MegaSparse generate indices,454.952 μs
MegaSparse generate topo,772.734 μs
MoE route,247.809 μs
MegaBlock generate indices,426.173 μs
MegaBlock padded and reorder tokens,208.887 μs
MegaBlock generate topo,568.799 μs
MegaBlock mlp forward,531.915 μs
MegaBlock reorder and remove padding,148.132 μs
MegaSparse generate indices,458.167 μs
MegaSparse generate topo,812.505 μs
MoE route,245.838 μs
MegaBlock generate indices,435.128 μs
MegaBlock padded and reorder tokens,208.424 μs
MegaBlock generate topo,561.894 μs
MegaBlock mlp forward,536.505 μs
MegaBlock reorder and remove padding,147.167 μs
MegaSparse generate indices,451.349 μs
MegaSparse generate topo,794.909 μs
MoE route,261.305 μs
MegaBlock generate indices,445.881 μs
MegaBlock padded and reorder tokens,242.382 μs
MegaBlock generate topo,599.104 μs
MegaBlock mlp forward,565.415 μs
MegaBlock reorder and remove padding,163.790 μs
MegaSparse generate indices,475.803 μs
MegaSparse generate topo,734.632 μs
MoE route,275.385 μs
MegaBlock generate indices,457.803 μs
MegaBlock padded and reorder tokens,228.268 μs
MegaBlock generate topo,593.339 μs
MegaBlock mlp forward,523.677 μs
MegaBlock reorder and remove padding,162.109 μs
MegaSparse generate indices,440.662 μs
MegaSparse generate topo,811.233 μs
MoE route,249.861 μs
MegaBlock generate indices,470.915 μs
MegaBlock padded and reorder tokens,224.918 μs
MegaBlock generate topo,604.950 μs
MegaBlock mlp forward,537.500 μs
MegaBlock reorder and remove padding,149.350 μs
MegaSparse generate indices,452.837 μs
MegaSparse generate topo,800.867 μs
MoE route,269.987 μs
MegaBlock generate indices,419.251 μs
MegaBlock padded and reorder tokens,228.761 μs
MegaBlock generate topo,568.888 μs
MegaBlock mlp forward,523.664 μs
MegaBlock reorder and remove padding,156.647 μs
MegaSparse generate indices,448.346 μs
MegaSparse generate topo,793.762 μs
MoE route,246.052 μs
MegaBlock generate indices,427.535 μs
MegaBlock padded and reorder tokens,207.337 μs
MegaBlock generate topo,568.575 μs
MegaBlock mlp forward,528.004 μs
MegaBlock reorder and remove padding,150.784 μs
MegaSparse generate indices,435.131 μs
MegaSparse generate topo,813.148 μs
MoE route,246.999 μs
MegaBlock generate indices,431.230 μs
MegaBlock padded and reorder tokens,211.742 μs
MegaBlock generate topo,562.318 μs
MegaBlock mlp forward,531.842 μs
MegaBlock reorder and remove padding,157.188 μs
MegaSparse generate indices,453.186 μs
MegaSparse generate topo,772.003 μs
MoE route,258.591 μs
MegaBlock generate indices,416.589 μs
MegaBlock padded and reorder tokens,220.687 μs
MegaBlock generate topo,556.238 μs
MegaBlock mlp forward,513.131 μs
MegaBlock reorder and remove padding,163.631 μs
MegaSparse generate indices,455.762 μs
MegaSparse generate topo,826.792 μs
MoE route,263.420 μs
MegaBlock generate indices,459.179 μs
MegaBlock padded and reorder tokens,220.158 μs
MegaBlock generate topo,574.317 μs
MegaBlock mlp forward,530.810 μs
MegaBlock reorder and remove padding,148.009 μs
MegaSparse generate indices,447.390 μs
MegaSparse generate topo,811.253 μs
MoE route,266.961 μs
MegaBlock generate indices,430.204 μs
MegaBlock padded and reorder tokens,209.063 μs
MegaBlock generate topo,566.607 μs
MegaBlock mlp forward,523.510 μs
MegaBlock reorder and remove padding,155.870 μs
MegaSparse generate indices,450.155 μs
MegaSparse generate topo,782.850 μs
MoE route,256.415 μs
MegaBlock generate indices,428.826 μs
MegaBlock padded and reorder tokens,231.357 μs
MegaBlock generate topo,548.715 μs
MegaBlock mlp forward,542.953 μs
MegaBlock reorder and remove padding,165.118 μs
MegaSparse generate indices,433.021 μs
MegaSparse generate topo,820.854 μs
MoE route,249.816 μs
MegaBlock generate indices,466.462 μs
MegaBlock padded and reorder tokens,219.512 μs
MegaBlock generate topo,597.358 μs
MegaBlock mlp forward,549.481 μs
MegaBlock reorder and remove padding,147.414 μs
MegaSparse generate indices,457.787 μs
MegaSparse generate topo,805.496 μs
MoE route,266.840 μs
MegaBlock generate indices,429.353 μs
MegaBlock padded and reorder tokens,224.535 μs
MegaBlock generate topo,568.058 μs
MegaBlock mlp forward,559.503 μs
MegaBlock reorder and remove padding,161.571 μs
MegaSparse generate indices,474.301 μs
MegaSparse generate topo,735.958 μs
MoE route,261.598 μs
MegaBlock generate indices,462.669 μs
MegaBlock padded and reorder tokens,220.522 μs
MegaBlock generate topo,582.978 μs
MegaBlock mlp forward,575.450 μs
MegaBlock reorder and remove padding,171.100 μs
MegaSparse generate indices,467.392 μs
MegaSparse generate topo,760.582 μs
MoE route,249.528 μs
MegaBlock generate indices,428.944 μs
MegaBlock padded and reorder tokens,215.802 μs
MegaBlock generate topo,573.536 μs
MegaBlock mlp forward,571.028 μs
MegaBlock reorder and remove padding,157.885 μs
MegaSparse generate indices,484.408 μs
MegaSparse generate topo,732.818 μs
MoE route,281.950 μs
MegaBlock generate indices,416.868 μs
MegaBlock padded and reorder tokens,223.370 μs
MegaBlock generate topo,564.697 μs
MegaBlock mlp forward,527.364 μs
MegaBlock reorder and remove padding,155.624 μs
MegaSparse generate indices,497.432 μs
MegaSparse generate topo,762.722 μs
MoE route,254.785 μs
MegaBlock generate indices,434.166 μs
MegaBlock padded and reorder tokens,207.394 μs
MegaBlock generate topo,568.200 μs
MegaBlock mlp forward,587.582 μs
MegaBlock reorder and remove padding,165.193 μs
MegaSparse generate indices,466.696 μs
MegaSparse generate topo,763.654 μs
MoE route,263.458 μs
MegaBlock generate indices,464.732 μs
MegaBlock padded and reorder tokens,208.699 μs
MegaBlock generate topo,593.787 μs
MegaBlock mlp forward,564.598 μs
MegaBlock reorder and remove padding,158.410 μs
MegaSparse generate indices,469.460 μs
MegaSparse generate topo,768.797 μs
MoE route,284.094 μs
MegaBlock generate indices,444.179 μs
MegaBlock padded and reorder tokens,239.062 μs
MegaBlock generate topo,558.211 μs
MegaBlock mlp forward,535.316 μs
MegaBlock reorder and remove padding,152.609 μs
MegaSparse generate indices,452.658 μs
MegaSparse generate topo,776.303 μs
MoE route,276.349 μs
MegaBlock generate indices,457.236 μs
MegaBlock padded and reorder tokens,225.610 μs
MegaBlock generate topo,594.703 μs
MegaBlock mlp forward,535.925 μs
MegaBlock reorder and remove padding,166.338 μs
MegaSparse generate indices,432.554 μs
MegaSparse generate topo,810.167 μs
MoE route,252.810 μs
MegaBlock generate indices,453.201 μs
MegaBlock padded and reorder tokens,221.121 μs
MegaBlock generate topo,613.085 μs
MegaBlock mlp forward,559.743 μs
MegaBlock reorder and remove padding,149.478 μs
MegaSparse generate indices,453.344 μs
MegaSparse generate topo,799.829 μs
MoE route,271.048 μs
MegaBlock generate indices,429.246 μs
MegaBlock padded and reorder tokens,209.348 μs
MegaBlock generate topo,608.854 μs
MegaBlock mlp forward,566.573 μs
MegaBlock reorder and remove padding,167.451 μs
MegaSparse generate indices,473.832 μs
MegaSparse generate topo,717.054 μs
MoE route,255.110 μs
MegaBlock generate indices,431.746 μs
MegaBlock padded and reorder tokens,212.637 μs
MegaBlock generate topo,560.532 μs
MegaBlock mlp forward,548.777 μs
MegaBlock reorder and remove padding,159.862 μs
MegaSparse generate indices,436.231 μs
MegaSparse generate topo,814.791 μs
MoE route,253.052 μs
MegaBlock generate indices,426.006 μs
MegaBlock padded and reorder tokens,207.724 μs
MegaBlock generate topo,563.775 μs
MegaBlock mlp forward,535.865 μs
MegaBlock reorder and remove padding,160.949 μs
MegaSparse generate indices,462.773 μs
MegaSparse generate topo,770.350 μs
MoE route,279.208 μs
MegaBlock generate indices,442.204 μs
MegaBlock padded and reorder tokens,236.220 μs
MegaBlock generate topo,609.264 μs
MegaBlock mlp forward,534.063 μs
MegaBlock reorder and remove padding,159.260 μs
MegaSparse generate indices,464.021 μs
MegaSparse generate topo,774.513 μs
MoE route,249.333 μs
MegaBlock generate indices,432.343 μs
MegaBlock padded and reorder tokens,209.365 μs
MegaBlock generate topo,566.613 μs
MegaBlock mlp forward,543.616 μs
MegaBlock reorder and remove padding,148.962 μs
MegaSparse generate indices,436.808 μs
MegaSparse generate topo,823.228 μs
MoE route,251.579 μs
MegaBlock generate indices,430.568 μs
MegaBlock padded and reorder tokens,207.292 μs
MegaBlock generate topo,572.638 μs
MegaBlock mlp forward,525.809 μs
MegaBlock reorder and remove padding,149.481 μs
MegaSparse generate indices,454.319 μs
MegaSparse generate topo,789.167 μs
MoE route,276.165 μs
MegaBlock generate indices,426.837 μs
MegaBlock padded and reorder tokens,223.352 μs
MegaBlock generate topo,561.652 μs
MegaBlock mlp forward,518.634 μs
MegaBlock reorder and remove padding,169.346 μs
MegaSparse generate indices,448.325 μs
MegaSparse generate topo,814.771 μs
MoE route,260.140 μs
MegaBlock generate indices,467.030 μs
MegaBlock padded and reorder tokens,220.680 μs
MegaBlock generate topo,584.056 μs
MegaBlock mlp forward,536.071 μs
MegaBlock reorder and remove padding,147.986 μs
MegaSparse generate indices,450.227 μs
MegaSparse generate topo,836.594 μs
MoE route,248.442 μs
MegaBlock generate indices,425.369 μs
MegaBlock padded and reorder tokens,207.740 μs
MegaBlock generate topo,570.225 μs
MegaBlock mlp forward,538.611 μs
MegaBlock reorder and remove padding,148.179 μs
MegaSparse generate indices,451.001 μs
MegaSparse generate topo,784.978 μs
MoE route,259.081 μs
MegaBlock generate indices,412.198 μs
MegaBlock padded and reorder tokens,223.695 μs
MegaBlock generate topo,565.325 μs
MegaBlock mlp forward,539.402 μs
MegaBlock reorder and remove padding,170.778 μs
MegaSparse generate indices,439.030 μs
MegaSparse generate topo,803.962 μs
MoE route,255.965 μs
MegaBlock generate indices,428.032 μs
MegaBlock padded and reorder tokens,208.031 μs
MegaBlock generate topo,600.305 μs
MegaBlock mlp forward,566.703 μs
MegaBlock reorder and remove padding,161.773 μs
MegaSparse generate indices,481.886 μs
MegaSparse generate topo,741.186 μs
MoE route,266.086 μs
MegaBlock generate indices,436.131 μs
MegaBlock padded and reorder tokens,209.179 μs
MegaBlock generate topo,571.127 μs
MegaBlock mlp forward,540.351 μs
MegaBlock reorder and remove padding,154.819 μs
MegaSparse generate indices,490.956 μs
MegaSparse generate topo,748.373 μs
MoE route,267.412 μs
MegaBlock generate indices,464.426 μs
MegaBlock padded and reorder tokens,233.936 μs
MegaBlock generate topo,593.791 μs
MegaBlock mlp forward,537.327 μs
MegaBlock reorder and remove padding,162.143 μs
MegaSparse generate indices,445.896 μs
MegaSparse generate topo,827.782 μs
MoE route,264.314 μs
MegaBlock generate indices,457.895 μs
MegaBlock padded and reorder tokens,207.823 μs
MegaBlock generate topo,565.911 μs
MegaBlock mlp forward,535.982 μs
MegaBlock reorder and remove padding,148.650 μs
MegaSparse generate indices,456.223 μs
MegaSparse generate topo,833.777 μs
MoE route,280.203 μs
MegaBlock generate indices,457.290 μs
MegaBlock padded and reorder tokens,219.943 μs
MegaBlock generate topo,607.005 μs
MegaBlock mlp forward,575.805 μs
MegaBlock reorder and remove padding,167.467 μs
MegaSparse generate indices,479.290 μs
MegaSparse generate topo,737.017 μs
MoE route,270.037 μs
MegaBlock generate indices,449.330 μs
MegaBlock padded and reorder tokens,234.594 μs
MegaBlock generate topo,600.639 μs
MegaBlock mlp forward,528.168 μs
MegaBlock reorder and remove padding,150.411 μs
MegaSparse generate indices,447.047 μs
MegaSparse generate topo,790.017 μs
MoE route,248.948 μs
MegaBlock generate indices,430.499 μs
MegaBlock padded and reorder tokens,245.338 μs
MegaBlock generate topo,600.564 μs
MegaBlock mlp forward,561.571 μs
MegaBlock reorder and remove padding,171.299 μs
MegaSparse generate indices,459.896 μs
MegaSparse generate topo,761.016 μs
MoE route,258.684 μs
MegaBlock generate indices,435.258 μs
MegaBlock padded and reorder tokens,208.203 μs
MegaBlock generate topo,617.962 μs
MegaBlock mlp forward,572.614 μs
MegaBlock reorder and remove padding,165.153 μs
MegaSparse generate indices,481.287 μs
MegaSparse generate topo,751.819 μs
MoE route,292.764 μs
MegaBlock generate indices,461.152 μs
MegaBlock padded and reorder tokens,219.950 μs
MegaBlock generate topo,596.050 μs
MegaBlock mlp forward,576.849 μs
MegaBlock reorder and remove padding,158.853 μs
MegaSparse generate indices,485.374 μs
MegaSparse generate topo,747.667 μs
MoE route,277.307 μs
MegaBlock generate indices,440.312 μs
MegaBlock padded and reorder tokens,233.298 μs
MegaBlock generate topo,597.050 μs
MegaBlock mlp forward,573.522 μs
MegaBlock reorder and remove padding,169.804 μs
MegaSparse generate indices,485.157 μs
MegaSparse generate topo,719.526 μs
MoE route,264.587 μs
MegaBlock generate indices,459.897 μs
MegaBlock padded and reorder tokens,230.459 μs
MegaBlock generate topo,584.954 μs
MegaBlock mlp forward,568.513 μs
MegaBlock reorder and remove padding,174.048 μs
MegaSparse generate indices,484.157 μs
MegaSparse generate topo,752.119 μs
MoE route,264.775 μs
MegaBlock generate indices,453.484 μs
MegaBlock padded and reorder tokens,220.105 μs
MegaBlock generate topo,597.078 μs
MegaBlock mlp forward,576.304 μs
MegaBlock reorder and remove padding,158.217 μs
MegaSparse generate indices,463.167 μs
MegaSparse generate topo,784.374 μs
MoE route,262.775 μs
MegaBlock generate indices,457.109 μs
MegaBlock padded and reorder tokens,220.701 μs
MegaBlock generate topo,606.790 μs
MegaBlock mlp forward,563.924 μs
MegaBlock reorder and remove padding,157.556 μs
MegaSparse generate indices,480.279 μs
MegaSparse generate topo,763.835 μs
MoE route,297.940 μs
MegaBlock generate indices,461.348 μs
MegaBlock padded and reorder tokens,222.767 μs
MegaBlock generate topo,606.482 μs
MegaBlock mlp forward,565.932 μs
MegaBlock reorder and remove padding,163.916 μs
MegaSparse generate indices,480.079 μs
MegaSparse generate topo,743.922 μs
MoE route,286.211 μs
MegaBlock generate indices,437.527 μs
MegaBlock padded and reorder tokens,231.073 μs
MegaBlock generate topo,592.288 μs
MegaBlock mlp forward,571.233 μs
MegaBlock reorder and remove padding,160.946 μs
MegaSparse generate indices,478.555 μs
MegaSparse generate topo,731.816 μs
MoE route,263.967 μs
MegaBlock generate indices,458.197 μs
MegaBlock padded and reorder tokens,233.320 μs
MegaBlock generate topo,584.871 μs
MegaBlock mlp forward,571.885 μs
MegaBlock reorder and remove padding,174.358 μs
MegaSparse generate indices,479.166 μs
MegaSparse generate topo,746.630 μs
MoE route,263.750 μs
MegaBlock generate indices,450.892 μs
MegaBlock padded and reorder tokens,238.270 μs
MegaBlock generate topo,610.696 μs
MegaBlock mlp forward,564.858 μs
MegaBlock reorder and remove padding,148.825 μs
MegaSparse generate indices,450.959 μs
MegaSparse generate topo,798.624 μs
MoE route,251.649 μs
MegaBlock generate indices,434.448 μs
MegaBlock padded and reorder tokens,207.512 μs
MegaBlock generate topo,606.799 μs
