Name,Duration
MegaBlock mlp forward,558.343 μs
MegaBlock reorder and remove padding,158.789 μs
MegaSparse generate indices,454.723 μs
MegaSparse generate topo,806.841 μs
MoE route,272.810 μs
MegaBlock generate indices,478.638 μs
MegaBlock padded and reorder tokens,218.461 μs
MegaBlock generate topo,572.939 μs
MegaBlock mlp forward,547.503 μs
MegaBlock reorder and remove padding,155.277 μs
MegaSparse generate indices,471.444 μs
MegaSparse generate topo,770.877 μs
MoE route,308.115 μs
MegaBlock generate indices,470.633 μs
MegaBlock padded and reorder tokens,225.659 μs
MegaBlock generate topo,600.912 μs
MegaBlock mlp forward,538.400 μs
MegaBlock reorder and remove padding,150.236 μs
MegaSparse generate indices,470.412 μs
MegaSparse generate topo,798.346 μs
MoE route,279.647 μs
MegaBlock generate indices,471.697 μs
MegaBlock padded and reorder tokens,247.438 μs
MegaBlock generate topo,610.054 μs
MegaBlock mlp forward,569.740 μs
MegaBlock reorder and remove padding,152.306 μs
MegaSparse generate indices,509.359 μs
MegaSparse generate topo,752.181 μs
MoE route,273.416 μs
MegaBlock generate indices,478.306 μs
MegaBlock padded and reorder tokens,237.475 μs
MegaBlock generate topo,612.632 μs
MegaBlock mlp forward,575.719 μs
MegaBlock reorder and remove padding,161.632 μs
MegaSparse generate indices,487.835 μs
MegaSparse generate topo,732.890 μs
MoE route,256.679 μs
MegaBlock generate indices,478.278 μs
MegaBlock padded and reorder tokens,214.645 μs
MegaBlock generate topo,633.165 μs
MegaBlock mlp forward,567.803 μs
MegaBlock reorder and remove padding,182.471 μs
MegaSparse generate indices,476.494 μs
MegaSparse generate topo,747.183 μs
