Name,Start,Duration,TID,GPU,Context
MegaBlock reorder and remove padding [16.503 μs],47.4707s,16.503 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.606 μs],47.4707s,49.606 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [166.793 μs],47.4708s,166.793 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.842 μs],47.4711s,483.842 μs,457618,GPU 0,Stream 7
MoE route [29.521 μs],47.4716s,29.521 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [370.878 μs],47.4716s,370.878 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [165.194 μs],47.4721s,165.194 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [538.789 μs],47.4723s,538.789 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.493 ms],47.4731s,1.493 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.119 μs],47.4746s,16.119 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.711 μs],47.4746s,48.711 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [170.887 μs],47.4747s,170.887 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.098 μs],47.475s,484.098 μs,457618,GPU 0,Stream 7
MoE route [31.440 μs],47.4755s,31.440 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [343.916 μs],47.4755s,343.916 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [163.402 μs],47.476s,163.402 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [536.903 μs],47.4762s,536.903 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.486 ms],47.477s,1.486 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.439 μs],47.4785s,16.439 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.350 μs],47.4785s,49.350 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [183.072 μs],47.4786s,183.072 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.939 μs],47.4789s,483.939 μs,457618,GPU 0,Stream 7
MoE route [31.568 μs],47.4794s,31.568 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [348.522 μs],47.4794s,348.522 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [165.257 μs],47.4799s,165.257 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [536.295 μs],47.4801s,536.295 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.483 ms],47.4809s,1.483 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.087 μs],47.4824s,16.087 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.951 μs],47.4824s,46.951 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [170.150 μs],47.4824s,170.150 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [489.248 μs],47.4828s,489.248 μs,457618,GPU 0,Stream 7
MoE route [31.568 μs],47.4832s,31.568 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [364.449 μs],47.4833s,364.449 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [163.499 μs],47.4837s,163.499 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [551.135 μs],47.4839s,551.135 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.485 ms],47.4848s,1.485 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.215 μs],47.4863s,16.215 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.510 μs],47.4863s,49.510 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [172.294 μs],47.4863s,172.294 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.139 μs],47.4867s,483.139 μs,457618,GPU 0,Stream 7
MoE route [31.536 μs],47.4872s,31.536 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [360.515 μs],47.4872s,360.515 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [181.697 μs],47.4876s,181.697 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [525.260 μs],47.4879s,525.260 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.490 ms],47.4887s,1.490 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.279 μs],47.4902s,16.279 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.120 μs],47.4902s,46.120 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [169.287 μs],47.4903s,169.287 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.355 μs],47.4906s,484.355 μs,457618,GPU 0,Stream 7
MoE route [29.553 μs],47.4911s,29.553 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [368.447 μs],47.4911s,368.447 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [163.562 μs],47.4915s,163.562 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [523.534 μs],47.4917s,523.534 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.486 ms],47.4926s,1.486 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.056 μs],47.4941s,16.056 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [47.719 μs],47.4941s,47.719 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [172.550 μs],47.4941s,172.550 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.601 μs],47.4945s,485.601 μs,457618,GPU 0,Stream 7
MoE route [31.471 μs],47.4949s,31.471 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [337.775 μs],47.495s,337.775 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [164.106 μs],47.4954s,164.106 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [528.268 μs],47.4956s,528.268 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.486 ms],47.4964s,1.486 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.120 μs],47.4979s,16.120 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.152 μs],47.498s,46.152 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [181.664 μs],47.498s,181.664 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.866 μs],47.4983s,484.866 μs,457618,GPU 0,Stream 7
MoE route [31.407 μs],47.4988s,31.407 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [341.773 μs],47.4988s,341.773 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [176.803 μs],47.4993s,176.803 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [527.084 μs],47.4995s,527.084 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.489 ms],47.5003s,1.489 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.696 μs],47.5018s,16.696 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.152 μs],47.5018s,46.152 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [169.000 μs],47.5019s,169.000 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [489.568 μs],47.5022s,489.568 μs,457618,GPU 0,Stream 7
MoE route [31.632 μs],47.5027s,31.632 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [371.294 μs],47.5027s,371.294 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [164.586 μs],47.5031s,164.586 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [530.666 μs],47.5034s,530.666 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.483 ms],47.5042s,1.483 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.248 μs],47.5057s,16.248 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.486 μs],47.5057s,48.486 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [164.074 μs],47.5058s,164.074 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.602 μs],47.5061s,485.602 μs,457618,GPU 0,Stream 7
MoE route [30.352 μs],47.5066s,30.352 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [304.768 μs],47.5066s,304.768 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [156.398 μs],47.507s,156.398 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [512.724 μs],47.5072s,512.724 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.495 ms],47.508s,1.495 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.992 μs],47.5095s,15.992 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [50.406 μs],47.5095s,50.406 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [182.273 μs],47.5095s,182.273 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.593 μs],47.5099s,486.593 μs,457618,GPU 0,Stream 7
MoE route [31.535 μs],47.5104s,31.535 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [302.306 μs],47.5104s,302.306 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [168.008 μs],47.5108s,168.008 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [483.843 μs],47.511s,483.843 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.489 ms],47.5118s,1.489 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.439 μs],47.5132s,16.439 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.279 μs],47.5133s,46.279 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [162.859 μs],47.5133s,162.859 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.058 μs],47.5136s,485.058 μs,457618,GPU 0,Stream 7
MoE route [31.631 μs],47.5141s,31.631 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [341.997 μs],47.5141s,341.997 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [166.025 μs],47.5146s,166.025 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [525.037 μs],47.5148s,525.037 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.493 ms],47.5156s,1.493 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.503 μs],47.5171s,16.503 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.615 μs],47.5171s,48.615 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [165.578 μs],47.5172s,165.578 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.322 μs],47.5175s,484.322 μs,457618,GPU 0,Stream 7
MoE route [32.271 μs],47.5179s,32.271 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [306.911 μs],47.518s,306.911 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [167.720 μs],47.5184s,167.720 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [493.117 μs],47.5186s,493.117 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.487 ms],47.5193s,1.487 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.472 μs],47.5208s,16.472 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [45.641 μs],47.5208s,45.641 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [170.311 μs],47.5209s,170.311 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [492.030 μs],47.5212s,492.030 μs,457618,GPU 0,Stream 7
MoE route [31.535 μs],47.5217s,31.535 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [373.085 μs],47.5217s,373.085 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [157.165 μs],47.5222s,157.165 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [499.323 μs],47.5224s,499.323 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.489 ms],47.5232s,1.489 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.440 μs],47.5247s,16.440 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [45.352 μs],47.5247s,45.352 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [179.458 μs],47.5247s,179.458 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.450 μs],47.5251s,484.450 μs,457618,GPU 0,Stream 7
MoE route [31.567 μs],47.5255s,31.567 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [359.460 μs],47.5256s,359.460 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [185.023 μs],47.526s,185.023 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [519.088 μs],47.5262s,519.088 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.493 ms],47.5271s,1.493 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.152 μs],47.5285s,16.152 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [45.832 μs],47.5286s,45.832 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [163.658 μs],47.5286s,163.658 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.090 μs],47.5289s,485.090 μs,457618,GPU 0,Stream 7
MoE route [31.439 μs],47.5294s,31.439 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [333.937 μs],47.5294s,333.937 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [158.861 μs],47.5298s,158.861 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [500.729 μs],47.53s,500.729 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.489 ms],47.5308s,1.489 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.215 μs],47.5323s,16.215 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [47.687 μs],47.5323s,47.687 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [172.006 μs],47.5324s,172.006 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.529 μs],47.5327s,486.529 μs,457618,GPU 0,Stream 7
MoE route [32.495 μs],47.5332s,32.495 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [312.733 μs],47.5332s,312.733 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [156.558 μs],47.5336s,156.558 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [559.131 μs],47.5338s,559.131 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.493 ms],47.5347s,1.493 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.376 μs],47.5362s,16.376 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.359 μs],47.5362s,48.359 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [182.113 μs],47.5362s,182.113 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [489.184 μs],47.5366s,489.184 μs,457618,GPU 0,Stream 7
MoE route [31.631 μs],47.5371s,31.631 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [357.124 μs],47.5371s,357.124 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [164.585 μs],47.5375s,164.585 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [512.052 μs],47.5378s,512.052 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.484 ms],47.5386s,1.484 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.311 μs],47.54s,16.311 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [44.873 μs],47.5401s,44.873 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [172.262 μs],47.5401s,172.262 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.770 μs],47.5405s,484.770 μs,457618,GPU 0,Stream 7
MoE route [31.567 μs],47.541s,31.567 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [351.528 μs],47.541s,351.528 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [168.264 μs],47.5414s,168.264 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [526.541 μs],47.5416s,526.541 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.484 ms],47.5425s,1.484 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.895 μs],47.544s,15.895 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.263 μs],47.544s,48.263 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [169.255 μs],47.544s,169.255 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.345 μs],47.5443s,485.345 μs,457618,GPU 0,Stream 7
MoE route [31.504 μs],47.5448s,31.504 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [388.372 μs],47.5449s,388.372 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [173.510 μs],47.5453s,173.510 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [537.030 μs],47.5455s,537.030 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.485 ms],47.5464s,1.485 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.151 μs],47.5479s,16.151 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.734 μs],47.5479s,49.734 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [179.458 μs],47.5479s,179.458 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.313 μs],47.5483s,485.313 μs,457618,GPU 0,Stream 7
MoE route [31.599 μs],47.5487s,31.599 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [387.573 μs],47.5488s,387.573 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [179.010 μs],47.5492s,179.010 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [514.866 μs],47.5495s,514.866 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.483 ms],47.5503s,1.483 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.248 μs],47.5518s,16.248 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.615 μs],47.5518s,48.615 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [179.042 μs],47.5518s,179.042 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.363 μs],47.5521s,483.363 μs,457618,GPU 0,Stream 7
MoE route [31.471 μs],47.5526s,31.471 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [386.870 μs],47.5527s,386.870 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [181.601 μs],47.5531s,181.601 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [524.909 μs],47.5534s,524.909 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.493 ms],47.5542s,1.493 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.312 μs],47.5557s,16.312 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.119 μs],47.5557s,46.119 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [173.061 μs],47.5557s,173.061 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.122 μs],47.556s,485.122 μs,457618,GPU 0,Stream 7
MoE route [32.015 μs],47.5565s,32.015 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [373.308 μs],47.5565s,373.308 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [164.106 μs],47.557s,164.106 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [531.817 μs],47.5572s,531.817 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.493 ms],47.558s,1.493 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.279 μs],47.5595s,16.279 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.120 μs],47.5595s,46.120 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [174.308 μs],47.5596s,174.308 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [482.244 μs],47.5599s,482.244 μs,457618,GPU 0,Stream 7
MoE route [31.663 μs],47.5604s,31.663 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [346.955 μs],47.5604s,346.955 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [183.264 μs],47.5608s,183.264 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [527.500 μs],47.5611s,527.500 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.484 ms],47.5619s,1.484 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.088 μs],47.5634s,16.088 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [47.496 μs],47.5634s,47.496 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [160.556 μs],47.5634s,160.556 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.491 μs],47.5637s,483.491 μs,457618,GPU 0,Stream 7
MoE route [29.392 μs],47.5642s,29.392 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [353.670 μs],47.5642s,353.670 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [165.673 μs],47.5647s,165.673 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [521.135 μs],47.5649s,521.135 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.492 ms],47.5657s,1.492 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.024 μs],47.5672s,16.024 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [45.864 μs],47.5672s,45.864 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [166.569 μs],47.5673s,166.569 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.049 μs],47.5676s,486.049 μs,457618,GPU 0,Stream 7
MoE route [31.599 μs],47.5681s,31.599 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [341.485 μs],47.5681s,341.485 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [164.394 μs],47.5685s,164.394 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [531.785 μs],47.5687s,531.785 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.493 ms],47.5696s,1.493 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.183 μs],47.5711s,16.183 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [47.335 μs],47.5711s,47.335 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [161.740 μs],47.5711s,161.740 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.810 μs],47.5714s,483.810 μs,457618,GPU 0,Stream 7
MoE route [33.039 μs],47.5719s,33.039 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [307.519 μs],47.572s,307.519 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [188.158 μs],47.5723s,188.158 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [530.794 μs],47.5726s,530.794 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.495 ms],47.5734s,1.495 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.471 μs],47.5749s,16.471 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.134 μs],47.5749s,48.134 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [174.692 μs],47.575s,174.692 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.729 μs],47.5753s,485.729 μs,457618,GPU 0,Stream 7
MoE route [31.631 μs],47.5758s,31.631 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [301.090 μs],47.5758s,301.090 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [174.276 μs],47.5762s,174.276 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [533.544 μs],47.5764s,533.544 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.490 ms],47.5773s,1.490 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.928 μs],47.5788s,15.928 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.903 μs],47.5788s,48.903 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [166.377 μs],47.5788s,166.377 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.338 μs],47.5791s,486.338 μs,457618,GPU 0,Stream 7
MoE route [31.888 μs],47.5796s,31.888 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [308.574 μs],47.5797s,308.574 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [155.150 μs],47.58s,155.150 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [555.005 μs],47.5802s,555.005 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.497 ms],47.5811s,1.497 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.247 μs],47.5826s,16.247 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.152 μs],47.5826s,46.152 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [167.368 μs],47.5826s,167.368 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [493.118 μs],47.583s,493.118 μs,457618,GPU 0,Stream 7
MoE route [31.727 μs],47.5834s,31.727 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [328.436 μs],47.5835s,328.436 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [156.206 μs],47.5839s,156.206 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [545.986 μs],47.5841s,545.986 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.487 ms],47.5849s,1.487 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.184 μs],47.5864s,16.184 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [51.493 μs],47.5864s,51.493 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [173.924 μs],47.5865s,173.924 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.099 μs],47.5868s,484.099 μs,457618,GPU 0,Stream 7
MoE route [32.943 μs],47.5873s,32.943 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [292.551 μs],47.5873s,292.551 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [156.846 μs],47.5877s,156.846 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [488.416 μs],47.5879s,488.416 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.494 ms],47.5887s,1.494 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.120 μs],47.5902s,16.120 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.423 μs],47.5902s,48.423 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [172.838 μs],47.5903s,172.838 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.738 μs],47.5906s,484.738 μs,457618,GPU 0,Stream 7
MoE route [31.503 μs],47.5911s,31.503 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [293.702 μs],47.5911s,293.702 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [180.257 μs],47.5915s,180.257 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [494.941 μs],47.5917s,494.941 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.500 ms],47.5925s,1.500 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.344 μs],47.594s,16.344 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.390 μs],47.594s,48.390 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [159.212 μs],47.5941s,159.212 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.977 μs],47.5944s,486.977 μs,457618,GPU 0,Stream 7
MoE route [31.472 μs],47.5949s,31.472 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [317.434 μs],47.5949s,317.434 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [157.486 μs],47.5953s,157.486 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [499.162 μs],47.5955s,499.162 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.491 ms],47.5963s,1.491 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.151 μs],47.5978s,16.151 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.127 μs],47.5978s,49.127 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [171.750 μs],47.5978s,171.750 μs,457618,GPU 0,Stream 7
