Name,Start,Duration,TID,GPU,Context
MegaBlock reorder and remove padding [15.895 μs],47.3736s,15.895 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.990 μs],47.3736s,49.990 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [178.946 μs],47.3737s,178.946 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.139 μs],47.374s,483.139 μs,457618,GPU 0,Stream 7
MoE route [31.535 μs],47.3745s,31.535 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [324.055 μs],47.3745s,324.055 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [173.669 μs],47.3749s,173.669 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [497.660 μs],47.3751s,497.660 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.485 ms],47.3759s,1.485 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.215 μs],47.3774s,16.215 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.191 μs],47.3774s,49.191 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [187.518 μs],47.3775s,187.518 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.273 μs],47.3778s,486.273 μs,457618,GPU 0,Stream 7
MoE route [31.408 μs],47.3783s,31.408 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [326.869 μs],47.3783s,326.869 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [184.256 μs],47.3787s,184.256 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [508.086 μs],47.3789s,508.086 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.483 ms],47.3797s,1.483 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.343 μs],47.3812s,16.343 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.440 μs],47.3812s,46.440 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [174.852 μs],47.3813s,174.852 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [487.296 μs],47.3816s,487.296 μs,457618,GPU 0,Stream 7
MoE route [31.439 μs],47.3821s,31.439 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [325.717 μs],47.3821s,325.717 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [163.882 μs],47.3825s,163.882 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [505.240 μs],47.3827s,505.240 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.487 ms],47.3835s,1.487 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.959 μs],47.385s,15.959 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.120 μs],47.385s,46.120 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [167.497 μs],47.3851s,167.497 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [486.913 μs],47.3854s,486.913 μs,457618,GPU 0,Stream 7
MoE route [31.536 μs],47.3859s,31.536 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [354.310 μs],47.3859s,354.310 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [164.202 μs],47.3863s,164.202 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [510.677 μs],47.3865s,510.677 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.484 ms],47.3873s,1.484 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.375 μs],47.3888s,16.375 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.055 μs],47.3888s,46.055 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [179.458 μs],47.3889s,179.458 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.610 μs],47.3892s,484.610 μs,457618,GPU 0,Stream 7
MoE route [31.568 μs],47.3897s,31.568 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [330.611 μs],47.3897s,330.611 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [158.029 μs],47.3901s,158.029 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [510.356 μs],47.3903s,510.356 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.485 ms],47.3911s,1.485 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.152 μs],47.3926s,16.152 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [50.214 μs],47.3927s,50.214 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [185.790 μs],47.3927s,185.790 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.650 μs],47.393s,483.650 μs,457618,GPU 0,Stream 7
MoE route [29.424 μs],47.3935s,29.424 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [333.553 μs],47.3935s,333.553 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [169.319 μs],47.394s,169.319 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [482.627 μs],47.3942s,482.627 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.487 ms],47.3949s,1.487 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.375 μs],47.3964s,16.375 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.670 μs],47.3965s,49.670 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [172.933 μs],47.3965s,172.933 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.898 μs],47.3968s,484.898 μs,457618,GPU 0,Stream 7
MoE route [31.472 μs],47.3973s,31.472 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [365.536 μs],47.3973s,365.536 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [171.942 μs],47.3978s,171.942 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [499.962 μs],47.398s,499.962 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.496 ms],47.3988s,1.496 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.279 μs],47.4003s,16.279 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.871 μs],47.4003s,48.871 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [253.404 μs],47.4003s,253.404 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [488.417 μs],47.4007s,488.417 μs,457618,GPU 0,Stream 7
MoE route [31.664 μs],47.4012s,31.664 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [358.372 μs],47.4013s,358.372 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [156.622 μs],47.4017s,156.622 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [501.945 μs],47.4019s,501.945 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.490 ms],47.4027s,1.490 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.216 μs],47.4042s,16.216 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.535 μs],47.4042s,46.535 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [158.637 μs],47.4042s,158.637 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [483.747 μs],47.4046s,483.747 μs,457618,GPU 0,Stream 7
MoE route [31.504 μs],47.405s,31.504 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [341.677 μs],47.4051s,341.677 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [166.344 μs],47.4055s,166.344 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [497.243 μs],47.4057s,497.243 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.485 ms],47.4065s,1.485 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.087 μs],47.408s,16.087 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [48.326 μs],47.408s,48.326 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [175.460 μs],47.408s,175.460 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [487.616 μs],47.4084s,487.616 μs,457618,GPU 0,Stream 7
MoE route [31.567 μs],47.4088s,31.567 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [362.946 μs],47.4089s,362.946 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [184.288 μs],47.4093s,184.288 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [499.930 μs],47.4095s,499.930 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.490 ms],47.4103s,1.490 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [15.352 μs],47.4118s,15.352 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [47.431 μs],47.4119s,47.431 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [163.754 μs],47.4119s,163.754 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [485.634 μs],47.4122s,485.634 μs,457618,GPU 0,Stream 7
MoE route [31.600 μs],47.4127s,31.600 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [314.204 μs],47.4127s,314.204 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [157.261 μs],47.4131s,157.261 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [497.244 μs],47.4133s,497.244 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.486 ms],47.4141s,1.486 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.344 μs],47.4156s,16.344 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [46.951 μs],47.4156s,46.951 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [166.217 μs],47.4156s,166.217 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [484.514 μs],47.4159s,484.514 μs,457618,GPU 0,Stream 7
MoE route [31.599 μs],47.4164s,31.599 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [332.050 μs],47.4165s,332.050 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [162.475 μs],47.4169s,162.475 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [501.178 μs],47.4171s,501.178 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.494 ms],47.4178s,1.494 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.407 μs],47.4193s,16.407 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [47.368 μs],47.4194s,47.368 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [165.577 μs],47.4194s,165.577 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [481.412 μs],47.4197s,481.412 μs,457618,GPU 0,Stream 7
MoE route [31.504 μs],47.4202s,31.504 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [330.483 μs],47.4202s,330.483 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [156.046 μs],47.4206s,156.046 μs,457618,GPU 0,Stream 7
